Year,Temp,Emissions
1880,13.780000000000001,233049
1881,13.81,240881
1882,13.8,254402
1883,13.72,270544
1884,13.63,273589
1885,13.65,275630
1886,13.66,279948
1887,13.620000000000001,293953
1888,13.77,325487
1889,13.82,325370
1890,13.56,354491
1891,13.65,370988
1892,13.6,374056
1893,13.57,369579
1894,13.59,382471
1895,13.66,405546
1896,13.81,418779
1897,13.8,438604
1898,13.63,462639
1899,13.75,505411
1900,13.83,533108
1901,13.75,550756
1902,13.65,564710
1903,13.530000000000001,616067
1904,13.450000000000001,622605
1905,13.620000000000001,662846
1906,13.69,696197
1907,13.52,787298
1908,13.47,757561
1909,13.46,787471
1910,13.5,825878
1911,13.46,840949
1912,13.56,880655
1913,13.58,952883
1914,13.76,864650
1915,13.81,852936
1916,13.58,920394
1917,13.51,962985
1918,13.6,949969
1919,13.65,823319
1920,13.67,957318
1921,13.74,839987
1922,13.66,880805
1923,13.65,999376
1924,13.66,1002538
1925,13.72,1009614
1926,13.83,993975
1927,13.73,1085529
1928,13.72,1089280
1929,13.57,1171056
1930,13.790000000000001,1082274
1931,13.84,966940
1932,13.780000000000001,872349
1933,13.64,918558
1934,13.790000000000001,999331
1935,13.74,1049812
1936,13.780000000000001,1152750
1937,13.89,1234408
1938,13.88,1163998
1939,13.91,1229020
1940,14.06,1338430
1941,14.17,1371358
1942,14.01,1375539
1943,14.0,1423658
1944,14.18,1414062
1945,14.08,1182695
1946,13.89,1291119
1947,13.860000000000001,1429193
1948,13.85,1502573
1949,13.83,1431456
1950,13.75,1579187
1951,13.9,1699344
1952,13.94,1722264
1953,14.030000000000001,1770273
1954,13.8,1809275
1955,13.77,1980951
1956,13.72,2108384
1957,13.97,2173787
1958,14.02,2242217
1959,13.98,2359670
1960,13.950000000000001,2485885
1961,13.99,2484994
1962,14.0,2573168
1963,14.02,2719687
1964,13.76,2857853
1965,13.83,2991511
1966,13.89,3127495
1967,13.9,3223830
1968,13.870000000000001,3399752
1969,14.01,3628346
1970,13.96,3931670
1971,13.83,4090071
1972,13.94,4278167
1973,14.09,4503781
1974,13.84,4493944
1975,13.91,4499682
1976,13.83,4747453
1977,14.110000000000001,4879727
1978,14.02,5063587
1979,14.13,5201322
1980,14.18,5181578
1981,14.22,5048317
1982,14.09,5021711
1983,14.26,5074345
1984,14.07,5225585
1985,14.06,5414493
1986,14.13,5488590
1987,14.280000000000001,5681655
1988,14.290000000000001,5900024
1989,14.19,5990772
1990,14.35,5833178
1991,14.290000000000001,5986067
1992,14.14,5868261
1993,14.18,5927452
1994,14.24,5947285
1995,14.370000000000001,6066393
1996,14.22,6233168
1997,14.41,6254219
1998,14.55,6222213
1999,14.34,6320306
2000,14.32,6510845
2001,14.47,6564192
2002,14.52,6709406
2003,14.540000000000001,7055665
2004,14.48,7388222
2005,14.57,7635344
2006,14.540000000000001,7899493
2007,14.52,8127435
2008,14.440000000000001,8359083
2009,14.540000000000001,8275529
2010,14.620000000000001,8701391
2011,14.48,9042599
2012,14.540000000000001,9209392
2013,14.57,9234807
2014,14.64,9306200
